Round,drift_ms,is_outlier
0,16,True
1,13,True
2,39,False
3,38,False
4,38,False
5,39,False
6,38,False
7,39,False
8,3878,True
9,5517,True
10,38,False
11,3879,True
12,38,False
13,38,False
14,39,False
15,38,False
16,39,False
17,38,False
18,38,False
19,39,False
20,38,False
21,39,False
22,38,False
23,38,False
24,39,False
25,38,False
26,39,False
27,38,False
28,38,False
29,39,False
30,38,False
31,39,False
32,38,False
33,38,False
34,13,True
35,39,False
36,38,False
37,38,False
38,39,False
39,38,False
40,39,False
41,38,False
42,38,False
43,39,False
44,38,False
45,39,False
46,38,False
47,38,False
48,39,False
49,38,False
50,39,False
51,38,False
52,38,False
53,39,False
54,38,False
55,39,False
56,38,False
57,38,False
58,39,False
59,38,False
60,39,False
61,38,False
62,38,False
63,39,False
64,38,False
65,39,False
66,38,False
67,2752,True
68,294,True
69,39,False
70,38,False
71,24973,True
72,243,True
73,346,True
74,38,False
75,39,False
76,704,True
77,38,False
78,397,True
79,38,False
80,39,False
81,38,False
82,38,False
83,39,False
84,38,False
85,39,False
86,38,False
87,38,False
88,39,False
89,38,False
90,39,False
91,38,False
92,38,False
93,39,False
94,38,False
95,39,False
96,38,False
97,38,False
98,39,False
99,38,False
100,39,False
101,38,False
102,38,False
