Round,Vote
0,VOTE_YES2
2,VOTE_NO2
3,VOTE_NO2
4,VOTE_NO2
5,VOTE_YES2
7,VOTE_NO2
8,VOTE_YES2
10,VOTE_NO2
11,VOTE_YES2
13,VOTE_YES2
14,VOTE_YES2
15,VOTE_NO2
16,VOTE_NO2
18,VOTE_NO2
19,VOTE_NO2
21,VOTE_YES2
23,VOTE_YES2
25,VOTE_YES2
26,VOTE_YES2
28,VOTE_YES2
31,VOTE_YES2
33,VOTE_NO2
34,VOTE_YES2
35,VOTE_NO2
36,VOTE_NO2
38,VOTE_YES2
39,VOTE_NO2
40,VOTE_NO2
41,VOTE_YES2
43,VOTE_NO2
44,VOTE_NO2
45,VOTE_YES2
47,VOTE_YES2
48,VOTE_NO2
49,VOTE_YES2
51,VOTE_YES2
53,VOTE_NO2
54,VOTE_YES2
56,VOTE_NO2
58,VOTE_YES2
59,VOTE_NO2
60,VOTE_NO2
61,VOTE_NO2
63,VOTE_NO2
64,VOTE_NO2
66,VOTE_NO2
67,VOTE_YES2
68,VOTE_NO2
72,VOTE_NO2
73,VOTE_NO2
75,VOTE_YES2
77,VOTE_NO2
80,VOTE_YES2
81,VOTE_YES2
82,VOTE_NO2
83,VOTE_NO2
84,VOTE_YES2
86,VOTE_NO2
87,VOTE_YES2
88,VOTE_YES2
89,VOTE_YES2
90,VOTE_NO2
91,VOTE_YES2
93,VOTE_YES2
94,VOTE_YES2
96,VOTE_NO2
97,VOTE_NO2
98,VOTE_YES2
100,VOTE_YES2
102,VOTE_YES2
